25,Косарев Эмилия,58,63191
72,Емельянов Анна,61,63956
21,Родионова Ева,63,74903
17,Ефимова Роберт,31,70613
38,Иванов Каролина,54,97895
31,Панова Марина,67,59398
41,Лебедев Валерия,61,76570
13,Воробьев Нина,52,73665
19,Царев Амина,65,84583
11,Петров Амира,27,88768
60,Петрова Кристина,48,82542
50,Окулов Ангелина,66,87440
69,Прокофьев Борис,76,72046
47,Гаврилов Матвей,43,73924
52,Ларионова Артём,44,80997
48,Горячева Никита,61,79428
28,Гаврилов Вероника,64,77282
24,Алешин Аглая,63,90769
51,Гуров Яна,32,71133
54,Панова Софья,41,57528
27,Чернышев Тигран,61,95399
5,Богданов Константин,49,96952
68,Жуков Дарья,63,60195
45,Владимирова Григорий,57,73174
63,Дмитриева Борис,62,97178
33,Зайцева Мирослава,50,69680
22,Еремина Виктор,74,74273
1,Фирсов Нина,62,63328
18,Широков Софья,67,70696
55,Воробьев Алия,57,82025
64,Петрова Екатерина,76,85250
10,Ларионова Глеб,34,77294
62,Гаврилов Дмитрий,57,88856
12,Лазарев Николай,62,61388
